idx,sku,zip,filename,category,category_en,subcategory,panel_family,model,title_raw,wattage,power_kw,capacity_ah,capacity_kwh,voltage,dimensions,features,size_kb,datasheet_size_kb,datasheet_under_1mb,datasheet_compression,has_extracted_text
1,ESS-001,Part1,HH3.6KS 6KS All-in-one System.pdf,ess,Energy Storage System (ESS),,,HH3,HH3.6KS 6KS All-in-one System,,,,5.12kWh,,480x485x190mm,LiFePO4;WiFi Monitoring,415,1534,False,lossless,True
2,ESS-002,Part1,RT-ESSA Series Outdoor Cabinet Energy Storage System.pdf,ess,Energy Storage System (ESS),,,RT-ESSA,RT-ESSA Series Outdoor Cabinet Energy Storage System,,,,,,,,623,1089,False,lossless,True
3,ESS-003,Part1,Residential ESS 10KW（Europe）.pdf,ess,Energy Storage System (ESS),,,Residential,Residential ESS 10KW（Europe）,,,,5.12kWh,,435x580x155mm,LiFePO4;WiFi Monitoring,707,1075,False,lossless,True
4,ESS-004,Part1,SmartCube ESS Series RTHY(20~50)KWP3-RTLB(70~107)kWh.pdf,ess,Energy Storage System (ESS),,,SmartCube,SmartCube ESS Series RTHY(20~50)KWP3-RTLB(70~107)kWh,,,280Ah,17.92kWh,,635x950x315mm,IP65;LiFePO4,413,825,True,lossless,True
5,SP-005,Part1,RT6S-M 340-400W 1956x992x30.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT6S-M,RT6S-M 340-400W 1956x992x30,340-400W,,,,,1956x992x30mm,IP65;IP67,8830,2142,False,lossless,True
6,SP-006,Part1,RT7I-M-BD 440-460W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT7I-M-BD,RT7I-M-BD 440-460W,440-460W,,,,,,TOPCon;Bifacial,10250,1788,False,lossless,True
7,SP-007,Part1,RT7I-M-FB FULL BLACK 425-450W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT7I-M-FB,RT7I-M-FB FULL BLACK 425-450W,425-450W,,,,,2094x1038x35mm,Full Black;IP67;TOPCon,9298,2373,False,lossless,True
8,SP-008,Part1,RT7K-M 355-380W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT7K-M,RT7K-M 355-380W,355-380W,,,,,,IP67,5162,911,True,lossless,True
9,SP-009,Part1,RT8H-M TOPCON 510-535W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8H-M,RT8H-M TOPCON 510-535W,510-535W,,,,,,TOPCon,8155,1376,False,lossless,True
10,SP-010,Part1,RT8H-M-BD 595-630W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8H-M-BD,RT8H-M-BD 595-630W,595-630W,,,,,,TOPCon;Bifacial,10675,3345,False,lossless,True
11,SP-011,Part1,RT8H-M-DG 480-505W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8H-M-DG,RT8H-M-DG 480-505W,480-505W,,,,,,Bifacial;Dual Glass,9910,2229,False,lossless,True
12,SP-012,Part1,RT8I-M TOPCON 590-610W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8I-M,RT8I-M TOPCON 590-610W,590-610W,,,,,,TOPCon,9514,1715,False,lossless,True
13,SP-013,Part1,RT8I-M TOPCON black frame 565-590W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8I-M,RT8I-M TOPCON black frame 565-590W,565-590W,,,,,,TOPCon;Black Frame,9838,1665,False,lossless,True
14,SP-014,Part1,RT8I-M-DG 535-560W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8I-M-DG,RT8I-M-DG 535-560W,535-560W,,,,,,Bifacial;Dual Glass,10429,1853,False,lossless,True
15,SP-015,Part1,RT8I-M-DG TOPCON 605-630W 2382x1134x30mm.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8I-M-DG,RT8I-M-DG TOPCON 605-630W 2382x1134x30mm,605-630W,,,,,2382x1134x30mm,TOPCon;Bifacial;Dual Glass,10312,2378,False,lossless,True
16,SP-016,Part1,RT8I-M-DG TOPCON black frame560-585W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8I-M-DG,RT8I-M-DG TOPCON black frame560-585W,560-585W,,,,,,TOPCon;Black Frame;Bifacial;Dual Glass,8727,1657,False,lossless,True
17,SP-017,Part1,RT8K-M 440-465W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8K-M,RT8K-M 440-465W,440-465W,,,,,,,4704,790,True,lossless,True
18,SP-018,Part1,RT8K-M TOPCON 470-500W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8K-M,RT8K-M TOPCON 470-500W,470-500W,,,,,,TOPCon,7296,1604,False,lossless,True
19,SP-019,Part1,RT8K-M-DG 490-510W 1961x1134x30mm.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8K-M-DG,RT8K-M-DG 490-510W 1961x1134x30mm,490-510W,,,,,1961x1134x30mm,Bifacial;Dual Glass,9636,1814,False,lossless,True
20,SP-020,Part1,RT8K-M-DG TOPCON 470-495W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8K-M-DG,RT8K-M-DG TOPCON 470-495W,470-495W,,,,,,Bifacial;Dual Glass;TOPCon,10964,2489,False,lossless,True
21,SP-021,Part1,RT8K-M-FB FULL BLACK 440-465W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8K-M-FB,RT8K-M-FB FULL BLACK 440-465W,440-465W,,,,,,Full Black,6025,1188,False,lossless,True
22,SP-022,Part1,RT8K-M-FB TOPCON FULL BLACK 470-495W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8K-M-FB,RT8K-M-FB TOPCON FULL BLACK 470-495W,470-495W,,,,,,TOPCon;Full Black,6031,1192,False,lossless,True
23,SP-023,Part1,RT8L-M-DG 595-640W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8L-M-DG,RT8L-M-DG 595-640W,595-640W,,,,,,TOPCon;Bifacial;Dual Glass,14134,4349,False,lossless,True
24,SP-024,Part1,RT8S-M 250-300W.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8S-M,RT8S-M 250-300W,250-300W,,,,,1710x770x35mm,IP67,2893,861,True,lossless,True
25,SP-025,Part1,RT8V-M TOPCON 490-515W 1961x1134x30.pdf,solar_panels,Solar Panels,,Mono series (RT6S/7/8/9),RT8V-M,RT8V-M TOPCON 490-515W 1961x1134x30,490-515W,,,,,,TOPCon,8110,1363,False,lossless,True
